iter	RMSE
918	0.7330900237
919	0.7330650764
920	0.7330349859
921	0.7329330081
922	0.7329073215
923	0.7328630805
924	0.7328391459
925	0.7328049864
926	0.7327802582
927	0.7327594984
928	0.732724542
929	0.7327047767
930	0.7326973988
931	0.7326623321
932	0.7326454981
933	0.7326180958
934	0.7325961548
935	0.7324973797
936	0.7324315419
937	0.7323984218
938	0.7323498993
939	0.7323297991
940	0.7322987618
941	0.732279691
942	0.7322570325
943	0.732220743
944	0.7321774436
945	0.7321254144
946	0.7321035608
947	0.7320877638
948	0.7320664488
949	0.7320334792
950	0.7320070651
951	0.7319945532
952	0.7319196637
953	0.7318893272
954	0.7318592318
955	0.7318310382
956	0.7317801959
957	0.7317470517
958	0.731727255
959	0.731668986
960	0.7316324203
961	0.7316256562
962	0.7315683687
963	0.7315298249
964	0.7314895638
965	0.7314783262
966	0.7314388623
967	0.7314164657
968	0.7313985699
969	0.7313704325
970	0.7313561241
971	0.7313325017
972	0.731319757
973	0.7312892731
974	0.7312747335
975	0.7312370473
976	0.7312088867
977	0.7311987384
978	0.7311574404
979	0.7311348887
980	0.7310819753
981	0.7310585681
982	0.7310255877
983	0.7310066862
984	0.7309947928
985	0.7309589819
986	0.7309353926
987	0.7309170211
988	0.7308632958
989	0.7308404219
990	0.7308138358
991	0.730801878
992	0.7307684475
993	0.7307626572
994	0.7307379109
995	0.7306912746
996	0.7306625664
997	0.730639034
998	0.730625798
999	0.7306022682
