iter	Passed	Remaining
676	3052615	1456417
677	3057203	1451946
678	3061338	1447260
679	3065648	1442658
680	3071120	1438601
681	3074793	1433701
682	3078819	1428968
683	3082809	1424222
684	3086998	1419568
685	3090791	1414735
686	3095160	1410167
687	3099675	1405666
688	3103992	1401076
689	3108424	1396538
690	3111777	1391518
691	3116822	1387256
692	3120757	1382500
693	3124516	1377668
694	3128429	1372907
695	3132991	1368433
696	3136929	1363686
697	3140700	1358870
698	3144402	1354027
699	3148442	1349332
700	3151892	1344387
701	3155934	1339698
702	3159622	1334861
703	3164028	1330329
704	3168367	1325770
705	3172180	1320992
706	3176686	1316505
707	3181066	1311965
708	3185025	1307253
709	3188618	1302393
710	3192761	1297761
711	3197337	1293305
712	3201130	1288533
713	3204850	1283735
714	3209324	1279241
715	3213486	1274622
716	3217351	1269889
717	3221048	1265091
718	3225124	1260444
719	3229424	1255887
720	3233002	1251050
721	3236605	1246227
722	3240303	1241444
723	3244609	1236895
724	3248601	1232228
725	3252282	1227445
726	3256144	1222733
727	3261417	1218551
728	3265280	1213842
729	3269623	1209312
730	3273678	1204677
731	3278159	1200200
732	3281905	1195455
733	3285618	1190700
734	3289597	1186045
735	3293826	1181481
736	3297486	1176714
737	3301240	1171985
738	3305203	1167331
739	3309405	1162764
740	3313195	1158053
741	3317030	1153361
742	3321313	1148825
743	3325968	1144419
744	3330402	1139936
745	3334162	1135224
746	3339040	1130893
747	3343120	1126291
748	3346669	1121514
749	3350606	1116868
750	3355043	1112391
751	3358871	1107713
752	3362565	1102992
753	3366819	1098458
754	3371422	1094037
755	3375432	1089425
756	3379072	1084695
757	3382937	1080040
758	3387066	1075471
759	3391331	1070946
760	3394798	1066171
761	3398996	1061628
762	3403917	1057311
763	3407841	1052684
764	3411465	1047966
765	3415632	1043417
766	3420194	1038989
767	3424957	1034622
768	3429280	1030121
769	3434939	1026020
770	3439653	1021635
771	3443609	1017024
772	3448029	1012551
773	3454942	1008807
774	3459125	1004262
775	3464507	1000063
776	3470075	995916
777	3475037	991591
778	3481343	987646
779	3486759	983445
780	3492151	979233
781	3496713	974787
782	3501624	970437
783	3506115	965970
784	3511223	961672
785	3516185	957333
786	3520412	952792
787	3524714	948273
788	3529027	943757
789	3533513	939288
790	3538513	934954
791	3544727	930938
792	3549463	926530
793	3553822	922024
794	3558321	917554
795	3562942	913115
796	3567764	908728
797	3572244	904252
798	3577010	899848
799	3583040	895760
800	3587098	891176
801	3590995	886554
802	3595916	882186
803	3600119	877641
804	3604548	873151
805	3608841	868629
806	3613887	864287
807	3618010	859725
808	3622219	855184
809	3627489	850892
810	3631841	846384
811	3635500	841716
812	3640012	837247
813	3644244	832714
814	3648534	828194
815	3652898	823692
816	3657040	819141
817	3662040	814781
818	3665981	810186
819	3670603	805742
820	3675153	801281
821	3679607	796800
822	3683820	792267
823	3687868	787700
824	3692785	783318
825	3697083	778804
826	3700859	774182
827	3705243	769688
828	3710329	765339
829	3714375	760775
830	3718681	756266
831	3723401	751840
832	3727898	747369
833	3732051	742830
834	3736316	738313
835	3740720	733825
836	3744891	729291
837	3750645	725065
838	3755734	720707
839	3760201	716228
840	3764476	711714
841	3768889	707226
842	3773749	702821
843	3777895	698284
844	3783133	693947
845	3787117	689380
846	3791975	684973
847	3796166	680444
848	3800291	675905
849	3804693	671416
850	3808834	666881
851	3813298	662403
